id,type,description,source
EVID_00045,Hard Drive,Unauthorized access logs,Law enforcement
EVID_00046,Cloud Storage,External USB,IT department
EVID_00047,Cloud Storage,Deleted files recovery,Cloud provider
EVID_00048,Cloud Storage,Suspicious email chain,Office search
EVID_00049,USB Device,Financial records,Internal audit
EVID_00050,Database Dump,Financial records,Cloud provider
EVID_00051,Server Image,Suspect laptop,Internal audit
EVID_00052,Laptop Image,Forged documents,Internal audit
EVID_00053,Email Logs,External USB,Corporate network
EVID_00054,Laptop Image,Deleted files recovery,Office search
EVID_00055,Mobile Phone,Forged documents,Financial institution
EVID_00056,Network Logs,Encrypted smartphone,Law enforcement
EVID_00057,Account Records,External USB,Internal audit
EVID_00058,Server Image,Forged documents,Law enforcement
EVID_00059,Account Records,Suspicious email chain,Cloud provider
EVID_00060,Network Logs,Suspect laptop,IT department
EVID_00061,USB Device,Financial records,Personal device
EVID_00062,Mobile Phone,Suspect laptop,IT department
EVID_00063,Email Logs,Suspect laptop,Financial institution
EVID_00064,Account Records,External USB,Internal audit
EVID_00065,Cloud Storage,Malware traces,IT department
EVID_00066,Mobile Phone,Bank transaction logs,Personal device
EVID_00067,Network Logs,Financial records,Cloud provider
EVID_00068,Laptop Image,Suspect laptop,Financial institution
EVID_00069,Account Records,Bank transaction logs,Office search
EVID_00070,Server Image,Encrypted smartphone,Financial institution
EVID_00071,USB Device,Encrypted smartphone,Office search
EVID_00072,Database Dump,Bank transaction logs,Office search
EVID_00073,Cloud Storage,Deleted files recovery,Corporate network
EVID_00074,Server Image,Unauthorized access logs,Personal device
EVID_00075,Email Logs,Forged documents,Corporate network
EVID_00076,Network Logs,Encrypted smartphone,Cloud provider
EVID_00077,Email Logs,Suspect laptop,Financial institution
EVID_00078,Server Image,Forged documents,Office search
EVID_00079,Hard Drive,Bank transaction logs,IT department
EVID_00080,Laptop Image,External USB,Corporate network
EVID_00081,Account Records,Malware traces,Cloud provider
EVID_00082,Database Dump,Bank transaction logs,Financial institution
EVID_00083,Laptop Image,Unauthorized access logs,Cloud provider
EVID_00084,Mobile Phone,Malware traces,IT department
EVID_00085,USB Device,Financial records,IT department
EVID_00086,Account Records,Deleted files recovery,Corporate network
EVID_00087,Server Image,Suspicious email chain,Law enforcement
EVID_00088,Hard Drive,Encrypted smartphone,Corporate network
EVID_00089,USB Device,Encrypted smartphone,Personal device
EVID_00090,Mobile Phone,Forged documents,Office search
EVID_00091,Mobile Phone,Unauthorized access logs,IT department
EVID_00092,Database Dump,Financial records,Personal device
EVID_00093,Database Dump,Bank transaction logs,Corporate network
EVID_00094,Account Records,Deleted files recovery,IT department
EVID_00095,Cloud Storage,External USB,Corporate network
EVID_00096,Mobile Phone,Forged documents,Cloud provider
EVID_00097,Server Image,Bank transaction logs,Financial institution
EVID_00098,Cloud Storage,Financial records,Office search
EVID_00099,Database Dump,Malware traces,IT department
EVID_00100,Server Image,Suspect laptop,IT department
EVID_00101,Cloud Storage,Unauthorized access logs,Personal device
EVID_00102,USB Device,Malware traces,Office search
EVID_00103,Cloud Storage,Malware traces,Internal audit
EVID_00104,Email Logs,External USB,Financial institution
EVID_00105,USB Device,Encrypted smartphone,IT department
EVID_00106,Mobile Phone,Suspicious email chain,Law enforcement
EVID_00107,Email Logs,Financial records,Financial institution
EVID_00108,USB Device,Forged documents,Law enforcement
EVID_00109,Laptop Image,Suspicious email chain,Corporate network
EVID_00110,Database Dump,Encrypted smartphone,IT department
EVID_00111,Database Dump,Forged documents,Office search
EVID_00112,USB Device,Unauthorized access logs,Financial institution
EVID_00113,Account Records,Financial records,Law enforcement
EVID_00114,Hard Drive,Unauthorized access logs,Cloud provider
EVID_00115,Server Image,Unauthorized access logs,Financial institution
EVID_00116,Database Dump,Encrypted smartphone,Personal device
EVID_00117,Hard Drive,Bank transaction logs,Cloud provider
EVID_00118,Account Records,Forged documents,Internal audit
EVID_00119,Email Logs,Suspect laptop,IT department
EVID_00120,Laptop Image,Suspect laptop,Internal audit
EVID_00121,Network Logs,Encrypted smartphone,Cloud provider
EVID_00122,Hard Drive,External USB,Financial institution
EVID_00123,USB Device,Malware traces,Internal audit
EVID_00124,Network Logs,Suspect laptop,Personal device
EVID_00125,Database Dump,Deleted files recovery,IT department
EVID_00126,Hard Drive,Encrypted smartphone,Corporate network
EVID_00127,Database Dump,Suspicious email chain,Corporate network
EVID_00128,USB Device,External USB,Office search
EVID_00129,Hard Drive,Malware traces,Office search
EVID_00130,Network Logs,Suspicious email chain,Personal device
EVID_00131,Laptop Image,External USB,Internal audit
EVID_00132,Server Image,Suspect laptop,Personal device
EVID_00133,Hard Drive,Financial records,Corporate network
EVID_00134,Laptop Image,Bank transaction logs,Corporate network
EVID_00135,Database Dump,Financial records,Personal device
EVID_00136,USB Device,Malware traces,Cloud provider
EVID_00137,Hard Drive,External USB,IT department
EVID_00138,Cloud Storage,Deleted files recovery,Cloud provider
EVID_00139,USB Device,Unauthorized access logs,Internal audit
EVID_00140,USB Device,Forged documents,Office search
EVID_00141,Database Dump,Encrypted smartphone,IT department
EVID_00142,Mobile Phone,Financial records,Cloud provider
EVID_00143,Hard Drive,Financial records,Financial institution
EVID_00144,Laptop Image,Forged documents,Financial institution
EVID_00145,Database Dump,Financial records,Internal audit
EVID_00146,Mobile Phone,External USB,Financial institution
EVID_00147,Cloud Storage,Forged documents,IT department
EVID_00148,Laptop Image,Malware traces,Cloud provider
EVID_00149,Laptop Image,Suspicious email chain,IT department
EVID_00150,Cloud Storage,External USB,Personal device
EVID_00151,Mobile Phone,Forged documents,Financial institution
EVID_00152,Account Records,Encrypted smartphone,Cloud provider
EVID_00153,Cloud Storage,Encrypted smartphone,Law enforcement
EVID_00154,Server Image,Suspicious email chain,Personal device
EVID_00155,Server Image,Bank transaction logs,Internal audit
EVID_00156,Mobile Phone,Suspect laptop,Office search
EVID_00157,Laptop Image,Deleted files recovery,Cloud provider
EVID_00158,Database Dump,Unauthorized access logs,Cloud provider
EVID_00159,Database Dump,Deleted files recovery,Internal audit
EVID_00160,Server Image,Forged documents,Personal device
EVID_00161,Account Records,External USB,IT department
EVID_00162,Server Image,Suspect laptop,Law enforcement
EVID_00163,Laptop Image,Unauthorized access logs,Cloud provider
EVID_00164,Database Dump,Encrypted smartphone,Cloud provider
EVID_00165,Account Records,Suspect laptop,Financial institution
EVID_00166,Server Image,External USB,Law enforcement
EVID_00167,Laptop Image,Bank transaction logs,Corporate network
EVID_00168,Mobile Phone,Suspicious email chain,Internal audit
EVID_00169,Cloud Storage,Malware traces,Law enforcement
EVID_00170,Network Logs,Encrypted smartphone,Personal device
EVID_00171,Database Dump,Malware traces,Office search
EVID_00172,Hard Drive,Suspect laptop,Cloud provider
EVID_00173,Mobile Phone,External USB,Personal device
EVID_00174,Hard Drive,Suspect laptop,IT department
EVID_00175,Cloud Storage,Suspect laptop,Cloud provider
EVID_00176,Email Logs,Deleted files recovery,Corporate network
EVID_00177,USB Device,Malware traces,Office search
EVID_00178,Laptop Image,Suspicious email chain,Law enforcement
EVID_00179,USB Device,Forged documents,Office search
EVID_00180,Network Logs,Deleted files recovery,Financial institution
EVID_00181,Email Logs,Encrypted smartphone,Corporate network
EVID_00182,Server Image,Financial records,Corporate network
EVID_00183,Server Image,Suspect laptop,Financial institution
EVID_00184,Email Logs,External USB,Office search
EVID_00185,Email Logs,Suspicious email chain,Financial institution
EVID_00186,Network Logs,Forged documents,Internal audit
EVID_00187,Mobile Phone,Bank transaction logs,Law enforcement
EVID_00188,Network Logs,Financial records,Internal audit
EVID_00189,Hard Drive,Deleted files recovery,Corporate network
EVID_00190,Mobile Phone,Bank transaction logs,Financial institution
EVID_00191,Account Records,External USB,Financial institution
EVID_00192,Account Records,Malware traces,IT department
EVID_00193,Network Logs,Bank transaction logs,IT department
EVID_00194,Hard Drive,Deleted files recovery,Cloud provider
EVID_00195,Mobile Phone,Suspect laptop,Law enforcement
EVID_00196,Mobile Phone,Forged documents,Corporate network
EVID_00197,Email Logs,External USB,Internal audit
EVID_00198,Mobile Phone,Encrypted smartphone,Personal device
EVID_00199,Cloud Storage,Malware traces,Office search
EVID_00200,Email Logs,External USB,Internal audit
EVID_00201,USB Device,Financial records,Corporate network
EVID_00202,Network Logs,Deleted files recovery,Internal audit
EVID_00203,Mobile Phone,Suspicious email chain,IT department
EVID_00204,USB Device,Deleted files recovery,Personal device
EVID_00205,Network Logs,Encrypted smartphone,Internal audit
EVID_00206,Mobile Phone,Financial records,IT department
EVID_00207,Laptop Image,Encrypted smartphone,Law enforcement
EVID_00208,Laptop Image,Suspect laptop,Internal audit
EVID_00209,Hard Drive,External USB,Personal device
EVID_00210,Hard Drive,Forged documents,Financial institution
EVID_00211,USB Device,Malware traces,Law enforcement
EVID_00212,Network Logs,Encrypted smartphone,Office search
EVID_00213,Laptop Image,Suspect laptop,Personal device
EVID_00214,Server Image,Financial records,Internal audit
EVID_00215,Network Logs,External USB,Financial institution
EVID_00216,Laptop Image,External USB,Office search
EVID_00217,Server Image,Encrypted smartphone,Internal audit
EVID_00218,Cloud Storage,Bank transaction logs,Law enforcement
EVID_00219,Hard Drive,Bank transaction logs,Office search
EVID_00220,Email Logs,Deleted files recovery,Personal device
EVID_00221,Mobile Phone,Financial records,Cloud provider
EVID_00222,Account Records,Unauthorized access logs,Personal device
EVID_00223,Cloud Storage,Deleted files recovery,Financial institution
EVID_00224,Server Image,Malware traces,Personal device
EVID_00225,Network Logs,Bank transaction logs,Cloud provider
EVID_00226,Account Records,Financial records,Office search
EVID_00227,Laptop Image,Forged documents,Internal audit
EVID_00228,USB Device,Bank transaction logs,Personal device
EVID_00229,Email Logs,Malware traces,Internal audit
EVID_00230,USB Device,External USB,Internal audit
EVID_00231,Mobile Phone,Bank transaction logs,Office search
EVID_00232,Database Dump,Malware traces,Law enforcement
EVID_00233,Database Dump,Forged documents,Office search
EVID_00234,Hard Drive,Deleted files recovery,Cloud provider
EVID_00235,Laptop Image,Suspicious email chain,Financial institution
EVID_00236,Database Dump,Bank transaction logs,Office search
EVID_00237,Server Image,Suspect laptop,Office search
EVID_00238,Laptop Image,Unauthorized access logs,Personal device
EVID_00239,Cloud Storage,Malware traces,Office search
EVID_00240,Database Dump,Suspicious email chain,Law enforcement
EVID_00241,Account Records,Bank transaction logs,IT department
EVID_00242,Email Logs,Suspicious email chain,Internal audit
EVID_00243,Network Logs,Financial records,Corporate network
EVID_00244,Email Logs,Forged documents,Law enforcement
EVID_00245,Account Records,Financial records,Law enforcement
EVID_00246,Server Image,Bank transaction logs,Personal device
EVID_00247,Laptop Image,Bank transaction logs,Law enforcement
EVID_00248,Mobile Phone,Suspect laptop,Corporate network
EVID_00249,Cloud Storage,Suspect laptop,Law enforcement
EVID_00250,Email Logs,Bank transaction logs,Corporate network
EVID_00251,Email Logs,Suspicious email chain,Cloud provider
EVID_00252,Cloud Storage,Suspicious email chain,Cloud provider
EVID_00253,Laptop Image,Unauthorized access logs,Internal audit
EVID_00254,USB Device,Encrypted smartphone,Personal device
EVID_00255,Email Logs,Encrypted smartphone,Corporate network
EVID_00256,Cloud Storage,Malware traces,Internal audit
EVID_00257,USB Device,Deleted files recovery,Financial institution
EVID_00258,Hard Drive,Unauthorized access logs,Personal device
EVID_00259,Email Logs,Unauthorized access logs,IT department
EVID_00260,Account Records,Unauthorized access logs,Financial institution
EVID_00261,Database Dump,Unauthorized access logs,Office search
EVID_00262,Database Dump,Suspicious email chain,Cloud provider
EVID_00263,Server Image,Deleted files recovery,Office search
EVID_00264,Database Dump,Financial records,Personal device
EVID_00265,Account Records,Suspect laptop,Cloud provider
EVID_00266,Database Dump,Bank transaction logs,Financial institution
EVID_00267,Account Records,Malware traces,Corporate network
EVID_00268,Cloud Storage,Forged documents,IT department
EVID_00269,Cloud Storage,Malware traces,IT department
EVID_00270,Database Dump,Malware traces,Law enforcement
EVID_00271,Cloud Storage,Encrypted smartphone,Corporate network
EVID_00272,Hard Drive,Bank transaction logs,Cloud provider
EVID_00273,Account Records,Malware traces,Corporate network
EVID_00274,Network Logs,Malware traces,Office search
EVID_00275,Server Image,Bank transaction logs,Law enforcement
EVID_00276,Email Logs,Encrypted smartphone,Personal device
EVID_00277,Server Image,Forged documents,Corporate network
EVID_00278,Network Logs,External USB,Cloud provider
EVID_00279,Account Records,Suspicious email chain,Office search
EVID_00280,Database Dump,Unauthorized access logs,Financial institution
EVID_00281,Cloud Storage,External USB,Law enforcement
EVID_00282,Email Logs,External USB,Internal audit
EVID_00283,Hard Drive,External USB,Office search
EVID_00284,Account Records,Encrypted smartphone,Cloud provider
EVID_00285,Mobile Phone,Suspicious email chain,Law enforcement
EVID_00286,Server Image,External USB,Office search
EVID_00287,Account Records,Deleted files recovery,Financial institution
EVID_00288,Account Records,Suspect laptop,Personal device
EVID_00289,Email Logs,Deleted files recovery,Law enforcement
EVID_00290,Server Image,Encrypted smartphone,Personal device
EVID_00291,Hard Drive,Encrypted smartphone,Law enforcement
EVID_00292,USB Device,Unauthorized access logs,Personal device
EVID_00293,Server Image,Suspect laptop,Cloud provider
EVID_00294,Laptop Image,Unauthorized access logs,Corporate network
EVID_00295,Email Logs,External USB,Cloud provider
EVID_00296,USB Device,Unauthorized access logs,Law enforcement
EVID_00297,Hard Drive,Financial records,Corporate network
EVID_00298,USB Device,Financial records,Cloud provider
EVID_00299,Database Dump,Bank transaction logs,Cloud provider
EVID_00300,Database Dump,Financial records,IT department
EVID_00301,Account Records,Unauthorized access logs,Corporate network
EVID_00302,Database Dump,External USB,Cloud provider
EVID_00303,Network Logs,Malware traces,Financial institution
EVID_00304,Email Logs,Malware traces,IT department
EVID_00305,Account Records,Suspicious email chain,Law enforcement
EVID_00306,Network Logs,Bank transaction logs,Internal audit
EVID_00307,Cloud Storage,Suspect laptop,Personal device
EVID_00308,Server Image,Unauthorized access logs,Office search
EVID_00309,Mobile Phone,Suspect laptop,Personal device
EVID_00310,Network Logs,Malware traces,IT department
EVID_00311,Email Logs,Unauthorized access logs,Internal audit
EVID_00312,Cloud Storage,Suspicious email chain,IT department
EVID_00313,Laptop Image,Deleted files recovery,Law enforcement
EVID_00314,Database Dump,External USB,Internal audit
EVID_00315,Database Dump,External USB,Internal audit
EVID_00316,Cloud Storage,Malware traces,Financial institution
EVID_00317,Network Logs,Bank transaction logs,Cloud provider
EVID_00318,Cloud Storage,Suspicious email chain,IT department
EVID_00319,Database Dump,Malware traces,IT department
EVID_00320,Hard Drive,Deleted files recovery,Internal audit
EVID_00321,Laptop Image,Bank transaction logs,Cloud provider
EVID_00322,Server Image,External USB,Office search
EVID_00323,Network Logs,Forged documents,Cloud provider
EVID_00324,USB Device,Financial records,Corporate network
EVID_00325,Cloud Storage,Unauthorized access logs,IT department
EVID_00326,USB Device,Bank transaction logs,Cloud provider
EVID_00327,Hard Drive,Encrypted smartphone,Law enforcement
EVID_00328,Database Dump,Suspect laptop,Cloud provider
EVID_00329,Database Dump,Unauthorized access logs,Personal device
EVID_00330,Cloud Storage,Unauthorized access logs,Corporate network
EVID_00331,Network Logs,Encrypted smartphone,Office search
EVID_00332,USB Device,Suspect laptop,Personal device
EVID_00333,Email Logs,Forged documents,IT department
EVID_00334,Network Logs,Financial records,Law enforcement
EVID_00335,Account Records,Malware traces,Cloud provider
EVID_00336,Network Logs,Encrypted smartphone,Office search
EVID_00337,Mobile Phone,Bank transaction logs,Internal audit
EVID_00338,Server Image,External USB,Corporate network
EVID_00339,Cloud Storage,Unauthorized access logs,Cloud provider
EVID_00340,Hard Drive,Forged documents,Personal device
EVID_00341,Email Logs,Encrypted smartphone,Corporate network
EVID_00342,Mobile Phone,External USB,Corporate network
EVID_00343,USB Device,Suspect laptop,Personal device
EVID_00344,Email Logs,Malware traces,Office search
EVID_00345,Account Records,Unauthorized access logs,Financial institution
EVID_00346,Laptop Image,Suspect laptop,Internal audit
EVID_00347,USB Device,Bank transaction logs,Internal audit
EVID_00348,Account Records,Bank transaction logs,IT department
EVID_00349,Database Dump,Unauthorized access logs,Internal audit
EVID_00350,Hard Drive,Financial records,IT department
EVID_00351,Account Records,Deleted files recovery,Personal device
EVID_00352,Network Logs,External USB,Law enforcement
EVID_00353,Hard Drive,Bank transaction logs,Corporate network
EVID_00354,Cloud Storage,External USB,Internal audit
EVID_00355,Email Logs,Malware traces,Cloud provider
EVID_00356,Email Logs,Deleted files recovery,Financial institution
EVID_00357,USB Device,Unauthorized access logs,Corporate network
EVID_00358,Network Logs,Encrypted smartphone,IT department
EVID_00359,USB Device,Financial records,Personal device
EVID_00360,Hard Drive,Encrypted smartphone,Personal device
EVID_00361,Hard Drive,Suspect laptop,Cloud provider
EVID_00362,Email Logs,Suspicious email chain,Internal audit
EVID_00363,Cloud Storage,External USB,IT department
EVID_00364,Email Logs,Financial records,Internal audit
EVID_00365,Laptop Image,Financial records,Cloud provider
EVID_00366,Laptop Image,Suspect laptop,Office search
EVID_00367,Cloud Storage,Unauthorized access logs,IT department
EVID_00368,USB Device,Bank transaction logs,Internal audit
EVID_00369,Email Logs,Suspicious email chain,Office search
EVID_00370,Mobile Phone,Encrypted smartphone,Corporate network
EVID_00371,Database Dump,Malware traces,Financial institution
EVID_00372,Database Dump,Suspect laptop,Law enforcement
EVID_00373,Mobile Phone,Deleted files recovery,Office search
EVID_00374,USB Device,Unauthorized access logs,Office search
EVID_00375,Mobile Phone,External USB,Cloud provider
EVID_00376,Laptop Image,Malware traces,IT department
EVID_00377,Laptop Image,Suspect laptop,Financial institution
EVID_00378,Account Records,Malware traces,Office search
EVID_00379,Email Logs,Deleted files recovery,Internal audit
EVID_00380,Mobile Phone,Unauthorized access logs,Cloud provider
EVID_00381,Account Records,Bank transaction logs,Cloud provider
EVID_00382,Email Logs,Deleted files recovery,Internal audit
EVID_00383,Server Image,Forged documents,Corporate network
EVID_00384,Account Records,External USB,Cloud provider
EVID_00385,Server Image,Forged documents,Financial institution
EVID_00386,Cloud Storage,Suspect laptop,Office search
EVID_00387,Mobile Phone,Financial records,Corporate network
EVID_00388,Cloud Storage,Suspicious email chain,Personal device
EVID_00389,Network Logs,Malware traces,IT department
EVID_00390,USB Device,External USB,Internal audit
EVID_00391,Server Image,External USB,Financial institution
EVID_00392,USB Device,External USB,Personal device
EVID_00393,Database Dump,Suspicious email chain,Internal audit
EVID_00394,Account Records,Unauthorized access logs,Cloud provider
EVID_00395,Laptop Image,Suspect laptop,Corporate network
EVID_00396,Email Logs,Malware traces,Cloud provider
EVID_00397,Hard Drive,Encrypted smartphone,Internal audit
EVID_00398,Network Logs,Forged documents,Cloud provider
EVID_00399,Email Logs,Malware traces,Internal audit
EVID_00400,Account Records,Forged documents,Law enforcement
EVID_00401,Mobile Phone,Bank transaction logs,Internal audit
EVID_00402,Laptop Image,Bank transaction logs,Internal audit
EVID_00403,Hard Drive,Forged documents,Internal audit
EVID_00404,Hard Drive,Suspicious email chain,Personal device
EVID_00405,Network Logs,Suspicious email chain,Law enforcement
EVID_00406,Server Image,External USB,Office search
EVID_00407,Laptop Image,Encrypted smartphone,Office search
EVID_00408,Cloud Storage,Bank transaction logs,Corporate network
EVID_00409,Server Image,Suspicious email chain,Internal audit
EVID_00410,Cloud Storage,External USB,Office search
EVID_00411,Account Records,Suspect laptop,Personal device
EVID_00412,Account Records,Financial records,Corporate network
EVID_00413,Laptop Image,Unauthorized access logs,Personal device
EVID_00414,Cloud Storage,External USB,Corporate network
EVID_00415,Cloud Storage,Financial records,IT department
EVID_00416,Laptop Image,Bank transaction logs,Law enforcement
EVID_00417,Network Logs,Encrypted smartphone,Financial institution
EVID_00418,Network Logs,External USB,Personal device
EVID_00419,Hard Drive,External USB,Internal audit
EVID_00420,Cloud Storage,Unauthorized access logs,Law enforcement
EVID_00421,Email Logs,Encrypted smartphone,Corporate network
EVID_00422,Network Logs,Financial records,Internal audit
EVID_00423,Laptop Image,Bank transaction logs,Personal device
EVID_00424,Laptop Image,Deleted files recovery,Cloud provider
EVID_00425,Email Logs,Forged documents,Corporate network
EVID_00426,Hard Drive,External USB,Internal audit
EVID_00427,Server Image,Bank transaction logs,Law enforcement
EVID_00428,Mobile Phone,Suspicious email chain,Corporate network
EVID_00429,USB Device,Suspect laptop,IT department
EVID_00430,Cloud Storage,External USB,Law enforcement
EVID_00431,USB Device,External USB,Law enforcement
EVID_00432,Network Logs,Malware traces,Personal device
EVID_00433,Mobile Phone,Financial records,Financial institution
EVID_00434,Network Logs,Forged documents,Office search
EVID_00435,Email Logs,Suspect laptop,Personal device
EVID_00436,USB Device,Encrypted smartphone,Cloud provider
EVID_00437,Hard Drive,Suspicious email chain,Cloud provider
EVID_00438,Server Image,Unauthorized access logs,Law enforcement
EVID_00439,Account Records,Encrypted smartphone,Personal device
EVID_00440,Mobile Phone,Malware traces,Law enforcement
EVID_00441,Account Records,Bank transaction logs,Cloud provider
EVID_00442,Network Logs,Deleted files recovery,Corporate network
EVID_00443,Email Logs,Suspect laptop,Financial institution
EVID_00444,Server Image,Encrypted smartphone,Financial institution
EVID_00445,Laptop Image,Suspicious email chain,Law enforcement
EVID_00446,Laptop Image,Suspicious email chain,Financial institution
EVID_00447,Cloud Storage,Suspect laptop,Corporate network
EVID_00448,Server Image,Malware traces,IT department
EVID_00449,Laptop Image,Suspicious email chain,Office search
EVID_00450,Network Logs,Bank transaction logs,IT department
EVID_00451,Mobile Phone,Unauthorized access logs,Personal device
EVID_00452,Account Records,Malware traces,Personal device
EVID_00453,Hard Drive,Suspicious email chain,Office search
EVID_00454,Email Logs,Malware traces,IT department
EVID_00455,Account Records,Forged documents,Personal device
EVID_00456,Email Logs,Unauthorized access logs,Office search
EVID_00457,Account Records,Unauthorized access logs,Personal device
EVID_00458,Account Records,Financial records,Financial institution
EVID_00459,Account Records,Suspicious email chain,Office search
EVID_00460,Laptop Image,Financial records,Personal device
EVID_00461,Account Records,Financial records,Cloud provider
EVID_00462,Network Logs,Financial records,Personal device
EVID_00463,Network Logs,Suspicious email chain,Personal device
EVID_00464,Cloud Storage,Deleted files recovery,Cloud provider
EVID_00465,Server Image,Malware traces,Personal device
EVID_00466,Network Logs,Bank transaction logs,Office search
EVID_00467,Account Records,Encrypted smartphone,Cloud provider
EVID_00468,Email Logs,Deleted files recovery,Office search
EVID_00469,Laptop Image,Forged documents,Personal device
EVID_00470,Email Logs,Suspect laptop,Law enforcement
EVID_00471,Cloud Storage,Deleted files recovery,Cloud provider
EVID_00472,Email Logs,Suspicious email chain,Corporate network
EVID_00473,USB Device,Encrypted smartphone,Personal device
EVID_00474,Account Records,Forged documents,Corporate network
EVID_00475,Laptop Image,Encrypted smartphone,Corporate network
EVID_00476,Account Records,Unauthorized access logs,Internal audit
EVID_00477,Hard Drive,Suspicious email chain,Cloud provider
EVID_00478,Network Logs,Bank transaction logs,IT department
EVID_00479,Mobile Phone,Encrypted smartphone,IT department
EVID_00480,Email Logs,Suspicious email chain,Office search
EVID_00481,Laptop Image,Unauthorized access logs,Law enforcement
EVID_00482,Hard Drive,Malware traces,Financial institution
EVID_00483,Network Logs,Suspicious email chain,Personal device
EVID_00484,Laptop Image,Malware traces,Personal device
EVID_00485,USB Device,Deleted files recovery,Internal audit
EVID_00486,Mobile Phone,Forged documents,Internal audit
EVID_00487,Database Dump,Suspicious email chain,Law enforcement
EVID_00488,Server Image,Unauthorized access logs,Personal device
EVID_00489,Account Records,Suspect laptop,Cloud provider
EVID_00490,Laptop Image,Deleted files recovery,Financial institution
EVID_00491,Mobile Phone,Encrypted smartphone,Corporate network
EVID_00492,USB Device,External USB,IT department
EVID_00493,USB Device,Bank transaction logs,Internal audit
EVID_00494,Laptop Image,Malware traces,Internal audit
EVID_00495,Database Dump,Encrypted smartphone,Financial institution
EVID_00496,Hard Drive,Suspicious email chain,Personal device
EVID_00497,Laptop Image,Suspicious email chain,Law enforcement
EVID_00498,Laptop Image,External USB,IT department
EVID_00499,Hard Drive,Suspect laptop,IT department
EVID_00500,Database Dump,Suspect laptop,Financial institution
EVID_00501,Database Dump,External USB,Internal audit
EVID_00502,Laptop Image,Encrypted smartphone,IT department
EVID_00503,Network Logs,Suspicious email chain,Law enforcement
EVID_00504,Email Logs,External USB,Financial institution
EVID_00505,Mobile Phone,Forged documents,Personal device
EVID_00506,Server Image,Suspect laptop,Personal device
EVID_00507,Mobile Phone,Financial records,Law enforcement
EVID_00508,Network Logs,Forged documents,Financial institution
EVID_00509,Laptop Image,Unauthorized access logs,Law enforcement
EVID_00510,Email Logs,Suspect laptop,Corporate network
EVID_00511,Server Image,Suspect laptop,Office search
EVID_00512,Mobile Phone,Financial records,Office search
EVID_00513,Laptop Image,Deleted files recovery,Law enforcement
EVID_00514,Hard Drive,External USB,Office search
EVID_00515,Account Records,Bank transaction logs,Cloud provider
EVID_00516,USB Device,Forged documents,Financial institution
EVID_00517,Account Records,Unauthorized access logs,Office search
EVID_00518,Network Logs,Financial records,Personal device
EVID_00519,Cloud Storage,External USB,Personal device
EVID_00520,Mobile Phone,Suspicious email chain,Financial institution
EVID_00521,Cloud Storage,Deleted files recovery,Cloud provider
EVID_00522,Network Logs,Forged documents,IT department
EVID_00523,Account Records,Bank transaction logs,Personal device
EVID_00524,USB Device,Suspicious email chain,Personal device
EVID_00525,USB Device,Unauthorized access logs,Corporate network
EVID_00526,Hard Drive,Encrypted smartphone,Internal audit
EVID_00527,Database Dump,Unauthorized access logs,Personal device
EVID_00528,Account Records,Bank transaction logs,Personal device
